level1,level2,level3
Bhangi,Bhangi Overview,
,Sama Bhanga,
,Ardha Bhanga/Abhangi,
,Chauka,
,Tribhangi,
,Atibhanga,
Shilpa Bhangima,Shilpa Bhangima Overview,
,Instrument,Mardala
,,Beena
,,Manjeera
,,Bansi
,Nayika,Alasa
,,Darpana
,,Salabhanjika
,,Abhiman
,Devi-devata,Rama
,,Ravana
,,Surya
,,Vishnu
,,Shiva
,,Durga
Padabheda,Padabheda Overview,
,Sama,Sama Overview
,,Adi
,,Rekha
,,Sama
,,Viparitha/dwimukha
,Chauka,Chauka Overview
,,Ardhaswastika
,,Swastika
,,Kumbha
,,Ardha-chauka
,,Chauka
,,Mandala
,Tribhangi,Tribhangi Overview
,,Trasya
,,Dhanu
,,Prusthadhanu
,,Suchi
,,Kunchita
,,Vilagna parshani
,Ardha Bhanga,Ardha Bhanga Overview
,,Anukunchita
,,Gharshita
,,Utparshani
,Others,Others Overview
,,Ashrita
,,Meenapuchha
,,Lolita
,,Uttolita
,,Ullolita
,,Januashrita
,,Nupura
,,Alidha
,,Pratyalidha
,,Bandhani
,,Ekapada
,,Janghashrita
,,Mahapada
,,Prushta Mahapada
Bakshyachalana,Bakshyachalana Overview,
,Bamachala - Dakshyachala,
,Agrachala - Prushthachala,
,Prachala,
Basic steps,Basic steps Overview,
,Sama-Ardha,
,Chauka,
,Tribhangi,
Bhramari,Bhramari Overview,
,Ardha,
,Veshtita,
,Ekapada,
,Chakra,
,Kunchita,
,Viparita,
,Utpluta,
,Garuda,
,Balaita,
,Akash,
,Prithvi,
,Anga,
,Bakshya,
Gati,Gati Overview,
,Hamsi,
,Mayuri,
,Mrugi,
,Gajalila,
,Turangini,
,Singhi/simhi,
,Bhujangi,
,Manduki,
,Manavi,
Movement Transformation,Movement Transformation Overview,
,Karma,
,Danda,
,Paika,
,Chhau,
,Sambalpuri,
,Mahari,
,Gotipua,
