level1 ,level2,front,side
Mangalacharan,Bhoomipranam,sq_001_bhoomi_f.mp4,sq_001_bhoomi_s.mp4
,Durga Stuti,sq_101_mangalacharan1_f.mp4,sq_101_mangalacharan1_s.mp4
,Ganesh Bandana,sq_102_mangalacharan2_f.mp4,sq_102_mangalacharan2_s.mp4
,Sabhapranam,sq_103_mangalacharan3_f.mp4,sq_103_mangalacharan3_s.mp4
Sthayi,Sthiti,sq_201_sthiti_f.mp4,sq_201_sthiti_s.mp4
,Sthayi - Pankaj Charan Das,sq_202_GPDsthayi_f.mp4,sq_202_GPDsthayi_s.mp4
,Battu - Kelucharan Mohapatra,sq_203_battu_f.mp4,sq_203_battu_s.mp4
,Konark Kanti,sq_204_konark_f.mp4,sq_204_konark_s.mp4
Pallavi,Raga Rageshri,sq_301_pallavi_f.mp4,sq_301_pallavi_s.mp4
,Raga Hamsadhwani,sq_302_pallavi2_f.mp4,sq_302_pallavi2_s.mp4
Abhinaya,Sakhi Hey,sq_401_abhinaya1_f.mp4,sq_401_abhinaya1_s.mp4
,Pratinayaka,sq_402_abhinaya2_f.mp4,sq_402_abhinaya2_s.mp4
Moksha,,sq_501_moksha_f.mp4,sq_501_moksha_s.mp4
Pada Chalana,1,sq_601_pc1_f.mp4,sq_601_pc1_s.mp4
,2,sq_602_pc2_f.mp4,sq_602_pc2_s.mp4
,3,sq_603_pc3_f.mp4,sq_603_pc3_s.mp4
,4,sq_604_pc4_f.mp4,sq_604_pc4_s.mp4
Vilasini,,sq_501_vilasini_f.mp4,sq_501_vilasini_s.mp4
Chalo Chalo,,sq_502_chalo_f.mp4,sq_502_chalo_s.mp4
Gatibilas (Simha),,sq_503_gatibilasl_f.mp4,sq_503_gatibilasl_s.mp4
Gatibilas (Hamsa),,sq_504_gatibilash_f.mp4,sq_504_gatibilash_s.mp4
Debi Bharani,,sq_505_debi_f.mp4,sq_505_debi_s.mp4
Kundalika,,sq_506_kundalika_f.mp4,sq_506_kundalika_s.mp4
Abahani,,sq_507_abahani_f.mp4,sq_507_abahani_s.mp4
Dashavatara,,sq_508_dasa_f.mp4,sq_508_dasa_s.mp4
Abartan Bibartan,,sq_509_ABBB_f.mp4,
Murchhana,,sq_510_murch_f.mp4,
Shiv Parvathi Sabda,,sq_511_sabda_f.mp4,sq_511_sabda_s.mp4
Sthayi & Sanchari Bhava,,sq_512_sthsan_f.mp4,sq_512_sthsan_s.mp4
