level1,level2,level3
Bhangi,Sama Bhanga,
,Ardha Bhanga/Abhangi,
,Chauka,
,Tribhangi,
,Atibhanga,
Shilpa Bhangima,Instrument,Mardala
,,Beena
,,Manjeera
,,Bansi
,Nayika,Alasa
,,Darpana
,,Salbhanjika
,,Abhiman
,Devi-devata,Rama
,,Ravana
,,Surya
,,Vishnu
,,Shiva
,,Durga
Padabheda,Sama,Adi
,,Rekha
,,Sama
,,Viparitha/dwimukha
,Chauka,Ardhaswastika
,,Swastika
,,Kumbha
,,Ardha-chauka
,,Chauka
,,Mandala
,Tribhangi,Trasya
,,Dhanu
,,Prusthadhanu
,,Suchi
,,Kunchita
,,Vilagna Parshani
,Ardha Bhanga,Anukunchita
,,Gharshita
,,Utparshani
,Others,Ashrita
,,Meenapuchha
,,Lolita
,,Uttolita
,,Ullolita
,,Januashrita
,,Nupura
,,Alidha
,,Pratyalidha
,,Bandhani
,,Ekapada
,,Janghashrita
,,Mahapada
,,Prushta Mahapada
Bakshyachalana,Bamachala - Dakshyachala,
,Agrachala - Prushthachala,
,Prachala,
Basic steps,Sama-Ardha,1
,,2
,,3
,,4
,,5
,,6
,,7
,,8
,,9
,,10
,Chauka,1
,,2
,,3
,,4
,,5
,,6
,,7
,,8
,,9
,,10
,Tribhangi,1
,,2
,,3
,,4
,,5
,,6
,,7
,,8
,,9
,,10
Bhramari,Ardha,
,Veshtita,
,Ekapada,Chauka
,,Ullolita
,Chakra,Chauka
,,Uthparshini
,,Parshachira
,Kunchita,Prushtadhanu
,,Trasya
,Viparita,Chauka
,,Tribhangi
,Utpluta,Chauka
,,Purna
,Garuda,Thiya
,,Bosa
,Balaita,Chhanda
,,Viparita
,,Chhapka
,Akash,
,Prithvi,
,Anga,
,Bakshya,
Gati,Hamsi,
,Mayuri,
,Mrugi,
,Gajalila,
,Turangini,
,Singhi/simhi,
,Bhujangi,
,Manduki,
,Manavi,
Movement Transformation,Karma,Original 1
,,Transformed 1
,,Original 2
,,Transformed 2
,Danda,Original 1
,,Transformed 1
,,Original 2
,,Transformed 2A
,,Transformed 2B
,Paika,Original 1
,,Transformed 1
,,Original 2
,,Transformed 2
,Chhau,Original 1
,,Transformed 1
,,Original 2
,,Transformed 2
,Sambalpuri,Original & Transformed 1
,,Original & Transformed 2
,,Original & Transformed 3
,Mahari,Original
,,Transformed
,Gotipua,Original
,,Transformed
